"global_id";"system_object_id";"ID";"Name";"Mode";"District";"Address";"LocationDescription";"Longitude_WGS84";"Latitude_WGS84";"CarCapacity";"AdmArea";
"1704701";"109";"109";"Парковка такси по адресу Митинская улица, дом 36, корпус 1";"круглосуточно";"район Митино";"Митинская улица, дом 36, корпус 1";"ТЦ «Ковчег», на проезжей части перед остановкой Мосгортранса, станция метро «Митино»";"37.3609560728073";"55.8466656846962";"4";"Северо-Западный административный округ";
"1704702";"110";"110";"Парковка такси по адресу Ангелов переулок, дом 1, корпус 1";"круглосуточно";"район Митино";"Ангелов переулок, дом 1, корпус 1";"ТЦ «КУБ» в кармане перед рестораном «Мануфактура»";"37.3509514331817";"55.8528601254003";"3";"Северо-Западный административный округ";
"1704703";"111";"111";"Парковка такси по адресу Пятницкое шоссе, дом 43";"круглосуточно";"район Митино";"Пятницкое шоссе, дом 43";"Дублер, на парковке ТЦ";"37.3506724834442";"55.8577860637298";"3";"Северо-Западный административный округ";
"1704704";"112";"112";"Парковка такси по адресу Новотушинский проезд, дом 6, корпус 1";"круглосуточно";"район Митино";"Новотушинский проезд, дом 6, корпус 1";"Выход из станции метро «Волоколамская», перед остановкой Мосгортранса «станция метро Волоколамская», напротив Новотушинского проезда, дома 6, корпуса 1";"37.3821079730987";"55.8368555499699";"4";"Северо-Западный административный округ";
"1704705";"113";"113";"Парковка такси по адресу улица Героев Панфиловцев, дом 28";"круглосуточно";"район Северное Тушино";"улица Героев Панфиловцев, дом 28";"На парковке Тушинской городской детской больницы";"37.4071812629699";"55.8526312769008";"3";"Северо-Западный административный округ";
"1704706";"114";"114";"Парковка такси по адресу Планерная улица, дом 12, корпус 1";"круглосуточно";"район Северное Тушино";"Планерная улица, дом 12, корпус 1";"У выхода из станции метро «Планерная»";"37.4363422393798";"55.8617510506298";"3";"Северо-Западный административный округ";
"1704707";"115";"115";"Парковка такси по адресу улица Свободы, дом 71";"круглосуточно";"район Северное Тушино";"улица Свободы, дом 71";"улица Свободы, у входа в парк культуры и отдыха «Северное Тушино»";"37.4493294954299";"55.8602518093103";"2";"Северо-Западный административный округ";
"1704708";"116";"116";"Парковка такси по адресу Митинская улица, дом 27";"круглосуточно";"район Митино";"Митинская улица, дом 27";"Выход из станции метро «Митино», к Митинской улице, дом 27, у лифта для инвалидов";"37.360371351242";"55.8462771817672";"2";"Северо-Западный административный округ";
"1704709";"117";"117";"Парковка такси по адресу улица Героев Панфиловцев, дом 1А";"круглосуточно";"район Южное Тушино";"улица Героев Панфиловцев, дом 1А";"";"37.4390405416488";"55.8504872623464";"3";"Северо-Западный административный округ";
"1704710";"118";"118";"Парковка такси по адресу Сходненская улица, дом 37";"круглосуточно";"район Южное Тушино";"Сходненская улица, дом 37";"Станция метро «Сходненская», после остановки ГУП «Мосгортранс»";"37.4393624067306";"55.8496561237682";"4";"Северо-Западный административный округ";
"1704711";"119";"119";"Парковка такси по адресу улица Свободы, дом 28, корпус 1";"круглосуточно";"район Южное Тушино";"улица Свободы, дом 28, корпус 1";"На территории парковки ресторана «Тануки»";"37.4537873268127";"55.8489153113586";"4";"Северо-Западный административный округ";
"1704712";"121";"121";"Парковка такси по адресу Тушинская улица, дом 17";"круглосуточно";"район Покровское-Стрешнево";"Тушинская улица, дом 17";"На территории парковки ТЦ «Праздник»";"37.4440294504165";"55.8270278738361";"4";"Северо-Западный административный округ";
"1704713";"123";"123";"Парковка такси по адресу Волоколамское шоссе, дом 80";"круглосуточно";"район Покровское-Стрешнево";"Волоколамское шоссе, дом 80";"На дублере Волоколамского шоссе";"37.4604070186614";"55.8174810214228";"4";"Северо-Западный административный округ";
"1704714";"124";"124";"Парковка такси по адресу улица Габричевского, дом 10";"круглосуточно";"район Покровское-Стрешнево";"улица Габричевского, дом 10";"";"37.4602460861206";"55.8166913725566";"2";"Северо-Западный административный округ";
"1704715";"125";"125";"Парковка такси по адресу улица Маршала Бирюзова, дом 40";"круглосуточно";"район Щукино";"улица Маршала Бирюзова, дом 40";"площадь Академика Курчатова, на углу улицы Маршала Бирюзова";"37.4772405624389";"55.8021855059769";"2";"Северо-Западный административный округ";
"1704716";"126";"126";"Парковка такси по адресу Новокуркинское шоссе, дом 1";"круглосуточно";"район Куркино";"Новокуркинское шоссе, дом 1";"На территории парковки ТЦ «Парус»";"37.4069023132324";"55.8846810255458";"3";"Северо-Западный административный округ";
"1704717";"127";"127";"Парковка такси по адресу Родионовская улица, дом 3";"круглосуточно";"район Покровское-Стрешнево";"Родионовская улица, дом 3";"В заездном кармане напротив улицы Соловьиная Роща, дом 10";"37.3989415168762";"55.8932969557782";"3";"Северо-Западный административный округ";
"1704718";"128";"128";"Парковка такси по адресу Волоколамское шоссе, дом 90, строение 9";"круглосуточно";"район Покровское-Стрешнево";"Волоколамское шоссе, дом 90, строение 9";"В составе ТПУ «Тушинская»";"37.4371898174285";"55.8257442478106";"7";"Северо-Западный административный округ";
"1704719";"129";"129";"Парковка такси по адресу Госпитальная улица, дом 14/1";"круглосуточно";"район Лефортово";"Госпитальная улица, дом 14/1";"Выход из парка";"37.6962362229824";"55.767171467531";"4";"Юго-Восточный административный округ";
"1704720";"130";"130";"Парковка такси по адресу улица Мельникова, дом 7";"круглосуточно";"Таганский район";"улица Мельникова, дом 7";"";"37.6721727848052";"55.7258080588284";"4";"Центральный административный округ";
"1704721";"131";"131";"Парковка такси по адресу Театральный проезд, дом 1/6";"круглосуточно";"Тверской район";"Театральный проезд, дом 1/6";"Возле «Малого театра»";"37.6199126243591";"55.7593930876553";"4";"Центральный административный округ";
"1704722";"132";"132";"Парковка такси по адресу Театральный проезд, дом 2";"круглосуточно";"Тверской район";"Театральный проезд, дом 2";"Напротив «Большого театра», напротив Театрального проезда, дома 2";"37.6201379299163";"55.7585207620559";"5";"Центральный административный округ";
"1704723";"133";"133";"Парковка такси по адресу площадь Тверская Застава, дом 1";"круглосуточно";"Тверской район";"площадь Тверская Застава, дом 1";"В кармане выход из станции метро «Белорусская», кольцевая";"37.582621872425";"55.7751957045844";"2";"Центральный административный округ";
"1704724";"134";"134";"Парковка такси по адресу Новорязанская улица, дом 10";"круглосуточно";"Красносельский район";"Новорязанская улица, дом 10";"Казанский вокзал, в кармане напротив Новорязанской улицы, дома 10";"37.6574367284774";"55.7723217435454";"5";"Центральный административный округ";
"1704725";"135";"135";"Парковка такси по адресу площадь Тверская Застава, дом 9, строение 1";"круглосуточно";"Тверской район";"площадь Тверская Застава, дом 9, строение 1";"Возле входа в здание Белорусского вокзала";"37.5827586650848";"55.7768430449661";"10";"Центральный административный округ";
"1704727";"137";"137";"Парковка такси по адресу Ладожская улица, дом 2/37, строение 4";"круглосуточно";"Басманный район";"Ладожская улица, дом 2/37, строение 4";"На парковке «Темпл Бар»";"37.6797151565551";"55.7713893579039";"4";"Центральный административный округ";
"1704728";"138";"138";"Парковка такси по адресу Мясницкий проезд, дом 4/2";"круглосуточно";"Красносельский район";"Мясницкий проезд, дом 4/2";"Станция метро «Красные ворота», выход к внутренней стороне Садового кольца, вдоль проезжей части";"37.6476144790649";"55.7686282793272";"5";"Центральный административный округ";
"1704729";"139";"139";"Парковка такси по адресу Большая Сухаревская площадь, дом 2, строение 1";"круглосуточно";"Мещанский район";"Большая Сухаревская площадь, дом 2, строение 1";"Станция метро «Сухаревская», у ресторана «Пронто»";"37.6323688030242";"55.7720547033349";"4";"Центральный административный округ";
"1704730";"164";"164";"Парковка такси по адресу Привольная улица, дом 29";"круглосуточно";"район Выхино-Жулебино";"Привольная улица, дом 29";"После остановки ГУП «Мосгортранс»";"37.8492629528045";"55.6948290903536";"4";"Юго-Восточный административный округ";
"1704731";"178";"178";"Парковка такси по адресу Ленинский проспект, дом 34";"круглосуточно";"Гагаринский район";"Ленинский проспект, дом 34";"В заездном кармане, у магазина «Азбука вкуса»";"37.5782131789674";"55.7071207417906";"4";"Юго-Западный административный округ";
"1704732";"179";"179";"Парковка такси по адресу Ленинский проспект, дом 38";"круглосуточно";"Гагаринский район";"Ленинский проспект, дом 38";"Дублер парковка возле гостиницы «Спутник»";"37.5734674930572";"55.704552612276";"3";"Юго-Западный административный округ";
"1704733";"180";"180";"Парковка такси по адресу Ленинский проспект, дом 41";"круглосуточно";"Гагаринский район";"Ленинский проспект, дом 41";"Напротив дома ткани «Тиссура»";"37.5789713859558";"55.7065051871019";"3";"Юго-Западный административный округ";
"1704734";"181";"181";"Парковка такси по адресу Ленинский проспект, дом 54";"круглосуточно";"Гагаринский район";"Ленинский проспект, дом 54";"Универмаг «Москва»";"37.5613546371459";"55.697714808856";"3";"Юго-Западный административный округ";
"1704735";"182";"182";"Парковка такси по адресу Литовский бульвар, дом 22";"круглосуточно";"район Ясенево";"Литовский бульвар, дом 22";"На территории парковки ТЦ «Ясенево»";"37.5377887487411";"55.6122836853365";"3";"Юго-Западный административный округ";
"1704736";"183";"183";"Парковка такси по адресу Нахимовский проспект, дом 46";"круглосуточно";"Академический район";"Нахимовский проспект, дом 46";"После остановки Мосгортранса «станция метро «Профсоюзная»";"37.56158713084";"55.6790261489918";"4";"Юго-Западный административный округ";
"1704737";"184";"184";"Парковка такси по адресу Новоясеневский проспект, владение 3А";"круглосуточно";"район Ясенево";"Новоясеневский проспект, владение 3А";"";"37.5133967399597";"55.6151103590115";"4";"Юго-Западный административный округ";
"1704738";"185";"185";"Парковка такси по адресу Новоясеневский проспект, дом 11";"круглосуточно";"район Ясенево";"Новоясеневский проспект, дом 11";"Заездной карман перед остановкой Мосгортранса «станция метро «Ясенево», ТК «Золотой Вавилон»";"37.5352691892476";"55.6064469443055";"3";"Юго-Западный административный округ";
"1704739";"186";"186";"Парковка такси по адресу Новоясеневский проспект, дом 24";"круглосуточно";"район Ясенево";"Новоясеневский проспект, дом 24";"На проезжей части рядом с остановкой Мосгортранса";"37.5306307913706";"55.6065277297434";"4";"Юго-Западный административный округ";
"1704740";"187";"187";"Парковка такси по адресу проспект Вернадского, дом 7";"круглосуточно";"Гагаринский район";"проспект Вернадского, дом 7";"Стоянка возле цирка";"37.5387704372406";"55.6950301452202";"3";"Юго-Западный административный округ";
"1704741";"188";"188";"Парковка такси по адресу Профсоюзная улица, дом 102";"круглосуточно";"район Коньково";"Профсоюзная улица, дом 102";"В заездном кармане между строением 1 и строением 2";"37.5263491272926";"55.6444950819218";"4";"Юго-Западный административный округ";
"1704742";"189";"189";"Парковка такси по адресу Профсоюзная улица, дом 104";"круглосуточно";"район Коньково";"Профсоюзная улица, дом 104";"На парковке перед домом";"37.5245010852813";"55.6418536902718";"4";"Юго-Западный административный округ";
"1704743";"190";"190";"Парковка такси по адресу Профсоюзная улица, дом 109, корпус 2";"круглосуточно";"район Коньково";"Профсоюзная улица, дом 109, корпус 2";"В заездном кармане";"37.5189059972763";"55.6318329469388";"4";"Юго-Западный административный округ";
"1704744";"11";"11";"Парковка такси по адресу Городецкая улица, дом 5";"круглосуточно";"район Новокосино";"Городецкая улица, дом 5";"";"37.8670665622303";"55.7427420854793";"4";"Восточный административный округ";
"1704745";"12";"12";"Парковка такси по адресу Сокольническая площадь, дом 9А";"круглосуточно";"район Сокольники";"Сокольническая площадь, дом 9А";"";"37.6798367141236";"55.7899785451472";"10";"Восточный административный округ";
"1704746";"94";"94";"Парковка такси по адресу Череповецкая улица, владение 1";"круглосуточно";"район Лианозово";"Череповецкая улица, владение 1";"ТЦ «Лианозово», в составе ТПУ";"37.5531435368611";"55.8976924490498";"5";"Северо-Восточный административный округ";
"1704747";"13";"13";"Парковка такси по адресу улица Олений Вал, дом 1, строение 1";"круглосуточно";"район Сокольники";"улица Олений Вал, дом 1, строение 1";"Центральный вход в парк «Сокольники»";"37.6782524941518";"55.7924335131011";"5";"Восточный административный округ";
"1704748";"14";"14";"Парковка такси по адресу Большая Черкизовская улица, дом 3, корпус 1";"круглосуточно";"район Преображенское";"Большая Черкизовская улица, дом 3, корпус 1";"";"37.7176595089986";"55.7969449426137";"5";"Восточный административный округ";
"1704749";"120";"120";"Парковка такси по адресу Путейская улица, дом 2, корпус 2 (2)";"круглосуточно";"район Западное Дегунино";"Путейская улица, дом 2, корпус 2";"";"37.513149";"55.869458";"3";"Северный административный округ";
"1704750";"15";"15";"Парковка такси по адресу Семёновская площадь, дом 1";"круглосуточно";"район Соколиная Гора";"Семёновская площадь, дом 1";"";"37.7207851409912";"55.7824729537475";"7";"Восточный административный округ";
"1704751";"122";"122";"Парковка такси по адресу Беговая улица, дом 22, строение 13";"круглосуточно";"район Беговой";"Беговая улица, дом 22, строение 13";"";"37.566866";"55.780327";"3";"Северный административный округ";
"1704752";"95";"95";"Парковка такси по адресу площадь Савёловского Вокзала, дом 2";"круглосуточно";"Бутырский район";"площадь Савёловского Вокзала, дом 2";"До остановки общественного транспорта";"37.5884091676198";"55.7938539460051";"6";"Северо-Восточный административный округ";
"1704753";"16";"16";"Парковка такси по адресу Большая Семёновская улица, дом 26, строение 2";"круглосуточно";"район Соколиная Гора";"Большая Семёновская улица, дом 26, строение 2";"";"37.7062278806442";"55.7822316243698";"6";"Восточный административный округ";
"1704754";"17";"17";"Парковка такси по адресу проспект Будённого, дом 53";"круглосуточно";"район Соколиная Гора";"проспект Будённого, дом 53";"";"37.7398216365327";"55.7578124435434";"5";"Восточный административный округ";
"1704755";"18";"18";"Парковка такси по адресу проспект Будённого, дом 18 Б";"круглосуточно";"район Соколиная Гора";"проспект Будённого, дом 18 Б";"На парковке торгового дома";"37.7297186133364";"55.7678708345193";"5";"Восточный административный округ";
"1704756";"19";"19";"Парковка такси по адресу проспект Будённого, дом 39, корпус 1";"круглосуточно";"район Соколиная Гора";"проспект Будённого, дом 39, корпус 1";"";"37.7339494228363";"55.763999910891";"5";"Восточный административный округ";
"1704757";"20";"20";"Парковка такси по адресу Щербаковская улица, дом 53";"круглосуточно";"район Соколиная Гора";"Щербаковская улица, дом 53";"";"37.7378297207906";"55.783016934705";"3";"Восточный административный округ";
"1704758";"21";"21";"Парковка такси по адресу Щёлковское шоссе, дом 100";"круглосуточно";"район Гольяново";"Щёлковское шоссе, дом 100";"ТЦ «Щелково»";"37.8295826193789";"55.8111533740242";"5";"Восточный административный округ";
"1704759";"22";"22";"Парковка такси по адресу 9-я Парковая улица, дом 26, корпус 1";"круглосуточно";"район Измайлово";"9-я Парковая улица, дом 26, корпус 1";"Выход из станции метро «Первомайская»";"37.7998423932149";"55.794253045144";"4";"Восточный административный округ";
"1704760";"23";"23";"Парковка такси по адресу Первомайская улица, дом 93/20";"круглосуточно";"район Измайлово";"Первомайская улица, дом 93/20";"Кинотеатр «Первомайский»";"37.8064584372987";"55.7934528523658";"4";"Восточный административный округ";
"1704761";"24";"24";"Парковка такси по адресу Большой Купавенский проезд, дом 6, строение 1";"круглосуточно";"район Ивановское";"Большой Купавенский проезд, дом 6, строение 1";"";"37.8195298073842";"55.7760943284241";"3";"Восточный административный округ";
"1704762";"25";"25";"Парковка такси по адресу Свободный проспект, дом 19";"круглосуточно";"район Ивановское";"Свободный проспект, дом 19";"";"37.8204274355448";"55.7592964989302";"2";"Восточный административный округ";
"1704763";"26";"26";"Парковка такси по адресу Зелёный проспект, дом 81";"круглосуточно";"район Новогиреево";"Зелёный проспект, дом 81";"";"37.8198552131652";"55.7512858653547";"4";"Восточный административный округ";
"1704764";"27";"27";"Парковка такси по адресу Свободный проспект, дом 33А";"круглосуточно";"район Новогиреево";"Свободный проспект, дом 33А";"";"37.8181243298604";"55.7531314097803";"4";"Восточный административный округ";
"1704765";"28";"28";"Парковка такси по адресу Зелёный проспект, дом 79А";"круглосуточно";"район Новогиреево";"Зелёный проспект, дом 79А";"";"37.8162717819213";"55.7518373158223";"4";"Восточный административный округ";
"1704766";"29";"29";"Парковка такси по адресу Зелёный проспект, дом 54-56";"круглосуточно";"район Новогиреево";"Зелёный проспект, дом 54-56";"";"37.8144657967641";"55.7511791729119";"4";"Восточный административный округ";
"1704767";"30";"30";"Парковка такси по адресу улица Красный Казанец, владение 18";"круглосуточно";"район Вешняки";"улица Красный Казанец, владение 18";"Перед остановкой маршрута № 9М в составе ТПУ «Выхино»";"37.8182244300842";"55.7170069148951";"2";"Восточный административный округ";
"1704768";"31";"31";"Парковка такси по адресу Зелёный проспект, дом 21";"круглосуточно";"район Перово";"Зелёный проспект, дом 21";"";"37.7845251560211";"55.7508883486968";"4";"Восточный административный округ";
"1704769";"191";"191";"Парковка такси по адресу Профсоюзная улица, дом 91";"круглосуточно";"район Коньково";"Профсоюзная улица, дом 91";"На дублере за остановкой ГУП «Мосгортранс»";"37.526244521141";"55.6417431869113";"4";"Юго-Западный административный округ";
"1704770";"192";"192";"Парковка такси по адресу Профсоюзная улица, дом 109, корпус 1";"круглосуточно";"район Коньково";"Профсоюзная улица, дом 109, корпус 1";"В заездном кармане";"37.5194478034973";"55.6331098523699";"4";"Юго-Западный административный округ";
"1704771";"193";"193";"Парковка такси по адресу Севастопольский проспект, дом 11Е";"круглосуточно";"район Котловка";"Севастопольский проспект, дом 11Е";"На территории парковки ТЦ «Капитолий»";"37.6031970977783";"55.6872482349633";"4";"Юго-Западный административный округ";
"1704772";"194";"194";"Парковка такси по адресу Севастопольский проспект, дом 24Б";"круглосуточно";"район Котловка";"Севастопольский проспект, дом 24Б";"На территории парковки «Экспострой»";"37.5864350617848";"55.6711936480568";"4";"Юго-Западный административный округ";
"1704773";"101";"101";"Парковка такси по адресу Привольная улица, дом 71, корпус 1";"круглосуточно";"район Выхино-Жулебино";"Привольная улица, дом 71, корпус 1";"";"37.8511863887644";"55.6798604043";"4";"Юго-Восточный административный округ";
"1704774";"1";"1";"Парковка такси по адресу 1-я улица Бухвостова, дом 11/12";"круглосуточно";"район Преображенское";"1-я улица Бухвостова, дом 11/12";"";"37.7091872692108";"55.7993271043035";"3";"Восточный административный округ";
"1704775";"2";"2";"Парковка такси по адресу улица Измайловский Вал, дом 1А";"круглосуточно";"район Соколиная Гора";"улица Измайловский Вал, дом 1А";"Фабрика «Красная заря»";"37.7183416485786";"55.78309838188";"3";"Восточный административный округ";
"1704776";"3";"3";"Парковка такси по адресу Измайловское шоссе, дом 71, строение 1 Б";"круглосуточно";"район Измайлово";"Измайловское шоссе, дом 71, строение 1Б";"Гостиница «Измайлово»";"37.748868763474";"55.7888636048275";"4";"Восточный административный округ";
"1704777";"4";"4";"Парковка такси по адресу Щелковское шоссе, дом 125, строение 27";"круглосуточно";"район Преображенское";"Щёлковское шоссе, дом 125, строение 27";"Возле касс стадиона «Локомотив»";"37.7427005770005";"55.8013915265299";"6";"Восточный административный округ";
"1704778";"5";"5";"Парковка такси по адресу Уральская улица, дом 2, строение 1";"круглосуточно";"район Гольяново";"Уральская улица, дом 2, строение 1";"Автовокзал «Щелковский», на дублере";"37.7993837001122";"55.8103208518424";"10";"Восточный административный округ";
"1704779";"6";"6";"Парковка такси по адресу Первомайская улица, дом 106-110";"круглосуточно";"район Восточное Измайлово";"Первомайская улица, дом 106-110";"";"37.8139919042587";"55.7933774583634";"5";"Восточный административный округ";
"1704780";"92";"92";"Парковка такси по адресу Алтуфьевское шоссе, дом 86, корпус 1";"круглосуточно";"район Бибирево";"Алтуфьевское шоссе, дом 86, корпус 1";"Дублер, в составе ТПУ «Алтуфьево»";"37.587679606604";"55.8975129803251";"3";"Северо-Восточный административный округ";
"1704781";"7";"7";"Парковка такси по адресу Сокольническая площадь, дом 4А";"круглосуточно";"район Сокольники";"Сокольническая площадь, дом 4А";"";"37.6791715623039";"55.7894185655315";"4";"Восточный административный округ";
"1704782";"8";"8";"Парковка такси по адресу Зеленый проспект, дом 24-26";"круглосуточно";"район Новогиреево";"Зелёный проспект, дом 24-26";"";"37.7885931730816";"55.7511600523555";"4";"Восточный административный округ";
