"ID";"Name";"INN";"global_id";"KPP";"OGRN";"Sum";"ExtraInfo";
"12";"Общество с ограниченной ответственностью КФ «АНАТОЛЬЕВНА»";"7703035296";"20277189";"770901001";"1027700044657";"5.256748518E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"14";"Общество с ограниченной ответственностью «БЕЛВИТ - М»";"7717110539";"20277191";"772901001";"1037739353563";"5.161312777E7";"";
"16";"Общество с ограниченной ответственностью «ОЛИМПИЯ»";"7702023548";"20277193";"770901001";"1027700267770";"5.138838398E7";"";
"9";"Закрытое акционерное общество «ЮНИ»";"7718799590";"20277186";"502501001";"1107746212386";"4.496079676E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"19";"Общество с ограниченной ответственностью «АФИНА»";"7715587654";"20277196";"771501001";"1027739782916";"4.42630749E7";"";
"18";"Общество с ограниченной ответственностью «ШКОЛЬНЫЕ ГОДЫ»";"7731257156";"20277195";"770501001";"1037739720567";"4.346080728E7";"";
"24";"Общество с ограниченной ответственностью «ЛАН АТМСЕРВИС»";"7730526310";"20277201";"773101001";"1027731010515";"4.285319255E7";"";
"22";"Закрытое акционерное общество «НПО «ПРОЕКТСПЕЦТЕХНИКА»";"7719206839";"20277199";"770101001";"1037739273990";"3.928416552E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"23";"Закрытое акционерное общество «ГМИ»";"7705053036";"20277200";"770401001";"1027700327786";"3.915959154E7";"";
"25";"Общество с ограниченной ответственностью «ФИРМА ОМ»";"7704014316";"20277202";"773501001";"1027739356358";"3.813048624E7";"";
"28";"Общество с ограниченной ответственностью «ВО ДВОРЦЕ»";"7701892841";"20277205";"772501001";"1037739771816";"3.782663429E7";"";
"27";"Общество с ограниченной ответственностью «ИЗДАТЕЛЬСТВО «АЛЕФ ПРИНТ»";"7701260842";"20277204";"770901001";"1037739244311";"3.753568886E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"31";"Общество с ограниченной ответственностью «БАЙРАМ»";"7706810377";"20277208";"773601001";"1027700231240";"3.723461662E7";"";
"20";"Общество с ограниченной ответственностью «ИнтерСервис»";"7722569600";"20277197";"771901001";"1027700412134";"3.710657859E7";"";
"26";"Общество с ограниченной ответственностью «СТУДИЯ ДЕК»";"7715379982";"20277203";"774301001";"1037700128839";"3.673024026E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"33";"Общество с ограниченной ответственностью «БУТТЕКС»";"7723166681";"20277210";"772001001";"1027739528805";"3.653738643E7";"";
"32";"Общество с ограниченной ответственностью «АВТОЗАВОДСКИЙ ТЕХЦЕНТР «ОРБИТА-СЕРВИС»";"7725009973";"20277209";"774301001";"1037739179433";"3.472592386E7";"";
"36";"Общество с ограниченной ответственностью ТПЦ «ЛУБЯНКА»";"7708042515";"20277213";"771401001";"1027700275470";"3.246965874E7";"";
"30";"Общество с ограниченной ответственностью ФИРМА «АЛЕКСАНДРА»";"7728604748";"20277207";"772301001";"1037739056520";"3.215933497E7";"";
"34";"Общество с ограниченной ответственностью «КАСПЕР СТРОЙ»";"7736171181";"20277211";"772401001";"1127747156822";"3.214161524E7";"";
"48";"Закрытое акционерное общество «ГОРОДСКОЙ ДОМ»";"7728149464";"20277225";"774501001";"1037739412941";"3.20466249E7";"";
"52";"Общество с ограниченной ответственностью «МС ЛАЙН»";"7719185385";"20277229";"771901001";"1027739058434";"3.102221188E7";"";
"17";"Общество с ограниченной ответственностью «ЦЕНТР КУЛЬТУРНЫХ ИННОВАЦИЙ-2000»";"7708135713";"20277194";"770801001";"1027739028063";"3.085588411E7";"";
"41";"Общество с ограниченной ответственностью «РОЙ-ФОРТ»";"7702044114";"20277218";"773701001";"1047796072081";"3.046307147E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"39";"Общество с ограниченной ответственностью «АДРЭМ ЛТД»";"7729123691";"20277216";"770201001";"1037739261647";"3.030099916E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"40";"Открытое акционерное общество ПКТИПРОМСТРОЙ";"7714008512";"20277217";"770101001";"1037739061425";"3.0065838E7";"";
"43";"Общество с ограниченной ответственностью «АСП СЕРВИС»";"7715516251";"20277220";"770101001";"1027700139170";"2.966148794E7";"";
"65";"Общество с ограниченной ответственностью «ГАГАРИНСКОЕ - 4»";"7719556079";"20277242";"771801001";"1027739293977";"2.891992899E7";"";
"35";"Общество с ограниченной ответственностью «ЛЕККУС»";"7720007299";"20277212";"770201001";"1027700088404";"2.86629216E7";"";
"56";"Общество с ограниченной ответственностью «ЭЛЛАДА ПЛЮС»";"7712051752";"20277233";"771801001";"1127746035185";"2.857333149E7";"";
"46";"Акционерное общество «ФЛОРИДА 2000»";"7722133041";"20277223";"772201001";"1027739276608";"2.856888322E7";"";
"44";"Общество с ограниченной ответственностью «ФЛАГМАН-СОФТ»";"7709616297";"20277221";"772301001";"1037739765910";"2.845008406E7";"";
"45";"Общество с ограниченной ответственностью «ЮГ-В»";"7723004183";"20277222";"770901001";"1057747323314";"2.83643008E7";"";
"42";"Общество с ограниченной ответственностью «ЕВРОСТАР»";"7705839060";"20277219";"771501001";"1047796233100";"2.778793792E7";"";
"54";"Общество с ограниченной ответственностью «ИНЖЕНЕР»";"7702075659";"20277231";"772401001";"1057746896041";"2.773658833E7";"";
"11";"Открытое акционерное общество «ЛИКОМ-ЦЕНТР»
";"7703669662";"20277188";"770801001";"1037739497157";"2.72713009E7";"";
"51";"Закрытое акционерное общество «АГРОИНВЕСТ Ц»";"7722177151";"20277228";"772901001";"1027700296117";"2.702365227E7";"";
"57";"Общество с ограниченной ответственностью «Виллис»";"5075369267";"20277234";"773601001";"1027700161873";"2.693016643E7";"";
"50";"Общество с ограниченной ответственностью «КОСМОЭВИТЕР»";"7720245857";"20277227";"772201001";"1037700017475";"2.671552394E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"49";"Общество с ограниченной ответственностью «ФОТО-ПРОФ-ТАСС»";"7703081630";"20277226";"770401001";"1027700264723";"2.624072442E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"53";"Общество с ограниченной ответственностью «ПКЦ-ИНКО»";"7731050183";"20277230";"770201001";"1025005329568";"2.623112752E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"47";"Общество с ограниченной ответственностью «КОСМОС»";"7720068118";"20277224";"772201001";"1027739276608";"2.604426669E7";"";
"58";"Общество с ограниченной ответственностью «БАРС И КО»";"7719151241";"20277235";"770701001";"1107746091012";"2.56544359E7";"";
"61";"Общество с ограниченной ответственностью «ИТРОМ»";"7734250832";"20277238";"773101001";"5077746828638";"2.471935703E7";"";
"21";"Общество с ограниченной ответственностью «ТОРГСИН 95»";"7715047962";"20277198";"772501001";"1067746299818";"2.452413964E7";"";
"63";"Общество с ограниченной ответственностью «ВОСТОК ПРОЕКТ»";"7709544155";"20277240";"770101001";"1037739330892";"2.441405733E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"59";"Общество с ограниченной ответственностью «ГОРОДЕЦКИЙ ХЛЕБ»";"7720015451";"20277236";"771001001";"1027700116179";"2.412377076E7";"";
"64";"Общество с ограниченной ответственностью «КОНСАЛТИНВЕСТПРОМ»";"7702309716";"20277241";"774301001";"1027700282147";"2.410094564E7";"";
"60";"Закрытое акционерное общество «ЭРКАФАРМ»";"7701047916";"20277237";"771001001";"1027700109580";"2.40182637E7";"";
"38";"Общество с ограниченной ответственностью «ЮГ-СЕРВИС»";"7724543879";"20277215";"772401001";"1057746896041";"2.337497703E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"62";"Общество с ограниченной ответственностью «ФИТИНГ»";"7731568296";"20284295";"771601001";"1037739402667";"2.329904586E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"71";"Общество с ограниченной ответственностью ТПЦ «ИНГЕОКОМ-С»";"7709075986";"20277248";"771501001";"1027700435377";"2.291115588E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"66";"Общество с ограниченной ответственностью «Ориент Стар»";"7702281972";"20277243";"771001001";"1027700348565";"2.264694027E7";"";
"67";"Общество с ограниченной ответственностью «Доктор и Алекс»";"7714121765";"20277244";"770501001";"1027739065650";"2.242314698E7";"";
"73";"Общество с ограниченной ответственностью «ГС И К»";"7716127586";"20277250";"774301001";"1027700037991";"2.229808664E7";"";
"29";"Общество с ограниченной ответственностью ТЭГ «АСТЭКО»";"7713281780";"20277206";"770701001";"1127746090988";"2.198997115E7";"";
"75";"Общество с ограниченной ответственностью «СОЛЬВЕЙГ»";"7701018344";"20277252";"771601001";"1037700116123";"2.189313276E7";"";
"68";"Общество с ограниченной ответственностью «УЛЬБАС»";"7728001179";"20277245";"770501001";"1037739909690";"2.182518931E7";"";
"55";"Закрытое акционерное общество «ДЕЛОВОЙ ЦЕНТР «СЕВЕРНЫЙ БЕРЕГ»";"7731183472";"20277232";"771801001";"1037739741490";"2.145327539E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"77";"Общество с ограниченной ответственностью «МАРТ - РЕМОБУВЬ»";"7707084008";"20277254";"771401001";"1027739812594";"2.134102783E7";"";
"70";"Общество с ограниченной ответственностью «ОДЕЖДА ДЛЯ ВСЕЙ СЕМЬИ»";"7718190840";"20277247";"772101001";"5067746651253";"2.099035735E7";"";
"76";"Открытое акционерное общество фирма «ВПТИагрострой»";"7729099079";"20277253";"771801001";"1027739078872";"2.098568014E7";"";
"82";"Закрытое акционерное общество «ЛЕОНАРДО»";"7709177000";"20277259";"772901001";"1057747163715";"2.068387398E7";"";
"81";"Общество с ограниченной ответственностью «ЮКОНТ-АЛЬЯНС»";"7705385578";"20277258";"774301001";"1117746921643";"2.057109077E7";"";
"78";"Закрытое акционерное общество «КУЙБЫШЕВСКОЕ»";"7718143640";"20277255";"771601001";"1027739283538";"2.04857705E7";"";
"87";"Общество с ограниченной ответственностью «АВРОРА ИНТУР»";"7707122052";"20277264";"771001001";"1027739285430";"2.018516034E7";"";
"86";"Общество с ограниченной ответственностью «АМОНТИС»";"7705457039";"20277263";"770501001";"1027700038618";"2.016731735E7";"";
"83";"Общество с ограниченной ответственностью «КОНЦЕРН БЕЛЫЙ ВЕТЕР»";"7710147515";"20277260";"771901001";"1027739930789";"1.971746961E7";"";
"79";"Общество с ограниченной ответственностью «ТК СТРОЙРЕЗЕРВ»";"7730117607";"20277256";"773001001";"1037739378676";"1.958756933E7";"";
"84";"Общество с ограниченной ответственностью «ДИАЛОГ»";"7735003642";"20277261";"773501001";"1027700262479";"1.950716374E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"74";"Общество с ограниченной ответственностью УК «СПЕЦСТРОЙМОНОЛИТ ИНВЕСТ»";"7718873741";"20277251";"771801001";"1127746035185";"1.874263303E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"80";"Общество с ограниченной ответственностью «ИНВЕСТМЕТСЕРВИС»";"7743835644";"20277257";"773501001";"1027739365444";"1.87174384E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"37";"Общество с ограниченной ответственностью «ЛИГА ГРУПП»";"7737500777";"20277214";"773601001";"1027739037479";"1.840468504E7";"";
"72";"Общество с ограниченной ответственностью «ВИКИНГ-С»";"7726319375";"20277249";"772601001";"1027726003106";"1.813457201E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"85";"Общество с ограниченной ответственностью «ЕВРОСТРОЙ»";"7714526377";"20277262";"770901001";"1037789021159";"1.808558843E7";"";
"69";"Общество с ограниченной ответственностью «НА ГОРКЕ (ПРОДУКТЫ)»";"7731004564";"20277246";"771401001";"1047796680326";"1.773497871E7";"";
"88";"Общество с ограниченной ответственностью «ДЕТЕНЗОР-МЕД»";"7710556885";"20277265";"771401001";"1047796686300";"1.764807243E7";"";
"89";"Общество с ограниченной ответственностью «КООПЕРАТОР КУБАНИ»";"7728024240";"20277266";"772801001";"1037739219561";"1.759793489E7";"";
"90";"Закрытое акционерное общество «РОССИТА»";"7701108622";"20277267";"770101001";"1027739247590";"1.755838524E7";"";
"91";"Общество с ограниченной ответственностью «МИДАС И К»";"7727151460";"20277268";"772801001";"1027739792277";"1.753010239E7";"";
"92";"Общество с ограниченной ответственностью «ТД «БЕЛЯЕВО»";"7728066120";"20277269";"772801001";"1037739364673";"1.739536639E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"93";"Общество с ограниченной ответственностью «Совинтех»";"7715274250";"20277270";"771501001";"1037739036257";"1.732118046E7";"";
"94";"Общество с ограниченной ответственностью ФИРМА «ЦЕМОСплюс»";"7718120970";"20277271";"771801001";"1027700094950";"1.724992918E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"95";"Общество с ограниченной ответственностью «РЕНЕССАНС»";"7728533487";"20277272";"770401001";"1047796967580";"1.682879769E7";"задолженность по арендной плате для арендаторов, с которыми оформлено несколько договоров аренды на нежилые помещения, указана с учетом общей суммы задолженности";
"96";"Общество с ограниченной ответственностью «ВЛАСОФФ»";"7712086145";"20277273";"774301001";"1027739691980";"1.647378658E7";"";
"97";"Общество с ограниченной ответственностью «РЕГАРД-ТУР»";"7709742936";"20277274";"770901001";"5077746890843";"1.63899698E7";"";
"98";"Общество с ограниченной ответственностью «ТД «ПРОСТОР МТ»";"7733071446";"20277275";"774301001";"1027700241546";"1.638806813E7";"";
"99";"Закрытое акционерное общество «Валго-Авто»";"7728207028";"20277276";"772701001";"1037700153105";"1.638294834E7";"";
"100";"Общество с ограниченной ответственностью «ЦЕНТР ДИАЛИЗА»";"7705211772";"20277277";"771601001";"1027739283538";"1.629132677E7";"";
